Trials

NORMAL THROW #1
8406 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.45'/s, Y:-0.74'/s, Z:-2.55'/s
8599 ACCEL: X:0.09, Y:0.22, Z:-0.92   GYRO: X:0.53'/s, Y:-0.80'/s, Z:-2.60'/s
8788 ACCEL: X:0.08, Y:0.23, Z:-0.92   GYRO: X:0.36'/s, Y:-0.88'/s, Z:-2.63'/s
8984 ACCEL: X:0.09, Y:0.22, Z:-0.92   GYRO: X:0.61'/s, Y:-0.70'/s, Z:-2.60'/s
9231 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.38'/s, Y:-0.93'/s, Z:-2.53'/s
9428 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.38'/s, Y:-0.65'/s, Z:-2.70'/s
9617 ACCEL: X:0.09, Y:0.22, Z:-0.92   GYRO: X:0.30'/s, Y:-0.58'/s, Z:-2.46'/s


UNDERROTATE #2
178 ACCEL: X:0.32, Y:-0.53, Z:0.13   GYRO: X:5.43'/s, Y:-49.48'/s, Z:-190.88'/s
373 ACCEL: X:-0.11, Y:-0.05, Z:0.08   GYRO: X:-20.05'/s, Y:-44.77'/s, Z:-160.02'/s
566 ACCEL: X:-0.07, Y:-1.00, Z:-0.04   GYRO: X:-8.95'/s, Y:43.05'/s, Z:90.93'/s
766 ACCEL: X:0.42, Y:-1.03, Z:0.04   GYRO: X:-4.88'/s, Y:-8.67'/s, Z:9.99'/s
954 ACCEL: X:0.10, Y:-1.13, Z:-0.05   GYRO: X:13.78'/s, Y:-10.55'/s, Z:12.37'/s
1151 ACCEL: X:0.29, Y:-1.08, Z:0.01   GYRO: X:-6.04'/s, Y:-4.50'/s, Z:0.63'/s
1339 ACCEL: X:0.44, Y:-0.91, Z:-0.08   GYRO: X:-8.31'/s, Y:-2.32'/s, Z:-2.39'/s
1531 ACCEL: X:0.96, Y:-1.53, Z:-0.07   GYRO: X:-15.03'/s, Y:-7.25'/s, Z:-62.23'/s
1779 ACCEL: X:0.57, Y:-0.87, Z:-0.01   GYRO: X:-18.22'/s, Y:-9.38'/s, Z:-256.00'/s
1975 ACCEL: X:0.02, Y:1.13, Z:0.04   GYRO: X:-8.34'/s, Y:-28.70'/s, Z:-256.00'/s
2164 ACCEL: X:0.20, Y:2.04, Z:0.27   GYRO: X:-21.75'/s, Y:-19.31'/s, Z:-256.83'/s
2371 ACCEL: X:0.37, Y:5.41, Z:0.54   GYRO: X:51.86'/s, Y:65.63'/s, Z:253.99'/s
2568 ACCEL: X:-0.44, Y:-0.30, Z:-0.03   GYRO: X:-111.64'/s, Y:-52.76'/s, Z:253.
2754 ACCEL: X:-1.29, Y:0.12, Z:-0.46   GYRO: X:236.82'/s, Y:253.99'/s, Z:253.99'/s
2954 ACCEL: X:0.02, Y:-0.28, Z:0.02   GYRO: X:-179.94'/s, Y:-256.00'/s, Z:-256.
3155 ACCEL: X:0.01, Y:-0.08, Z:-0.02   GYRO: X:-135.21'/s, Y:176.99'/s, Z:-256.
3339 ACCEL: X:-0.21, Y:-0.12, Z:-0.09   GYRO: X:-256.00'/s, Y:89.12'/s, Z:253.99'/s
3563 ACCEL: X:0.09, Y:0.13, Z:0.08   GYRO: X:156.34'/s, Y:-219.71'/s, Z:-174.10'/s
3776 ACCEL: X:-0.00, Y:-0.07, Z:-0.15   GYRO: X:253.99'/s, Y:138.86'/s, Z:80.50'/s
3976 ACCEL: X:1.87, Y:0.96, Z:1.90   GYRO: X:139.25'/s, Y:-33.37'/s, Z:-41.98'/s
4176 ACCEL: X:0.24, Y:-0.05, Z:1.17   GYRO: X:-0.34'/s, Y:1.62'/s, Z:0.87'/s
4366 ACCEL: X:0.21, Y:-0.06, Z:1.07   GYRO: X:-1.30'/s, Y:0.84'/s, Z:-0.09'/s
4599 ACCEL: X:0.21, Y:-0.05, Z:1.08   GYRO: X:-2.86'/s, Y:-0.88'/s, Z:-0.28'/s
